Screen ID,Type Restriction,Bundle,Datatype,List,Name,is container,is ripetibile,wysiwyg,List Values
CONTESTO,documento,ca_attribute_physdesc,Text,,Descrizione fisica,FALSE,FALSE,,
CONTENUTO,documento,ca_attribute_trascrizione,Text,,Trascrizione,FALSE,FALSE,TRUE,
CONTENUTO,documento,ca_attribute_carta_intestata,Text,,Carta intestata,FALSE,FALSE,,
CONTENUTO,documento,ca_attribute_abstract,Text,,Abstract,FALSE,FALSE,TRUE,
CONTENUTO,documento,ca_attribute_scopecontent,Text,,Contenuto,FALSE,FALSE,TRUE,
CONTENUTO,documento,ca_attribute_arrangement,Text,,Criteri di ordinamento,FALSE,FALSE,TRUE,
CONTENUTO,documento,ca_attribute_descriptioncriteria,Text,,Criteri di descrizione,FALSE,FALSE,TRUE,
CONTENUTO,documento,ca_attribute_structure,Text,,Struttura,FALSE,FALSE,TRUE,
CONTENUTO,documento,ca_attribute_appraisal,Text,,Valutazione e scarto,FALSE,TRUE,TRUE,
CONTENUTO,documento,ca_attribute_accruals,Text,,Incrementi previsti,FALSE,FALSE,TRUE,
CONTENUTO,documento,ca_attribute_descriptor,Text,,Descrittori,FALSE,TRUE,TRUE,
DESCRIZIONE TECNICA,documento,ca_attribute_external_appearance,Text,,Caratteristiche tecniche,FALSE,FALSE,,
DESCRIZIONE TECNICA,documento,ca_attribute_sound.sonoro,List,yes_no,Sonoro,TRUE,FALSE,,sì; no
DESCRIZIONE TECNICA,documento,ca_attribute_sound.mono_stereo,List,mono_stereo,Mono/Stereo,TRUE,FALSE,,mono; stereo
DESCRIZIONE TECNICA,documento,ca_attribute_sound.noteSonoro,Text,,Note,TRUE,FALSE,,
DESCRIZIONE TECNICA,documento,ca_attribute_qnt.qnt_tipo,Text,,Tipo,TRUE,TRUE,,
DESCRIZIONE TECNICA,documento,ca_attribute_qnt.qnt_quantita,Text,,Quantità,TRUE,TRUE,,
DESCRIZIONE TECNICA,documento,ca_attribute_process_medium,Text,,Materia e tecnica,FALSE,TRUE,,
DESCRIZIONE TECNICA,documento,ca_attribute_materia_tecnica_note,Text,,Materia e tecnica: note,FALSE,FALSE,,
DESCRIZIONE TECNICA,documento,ca_attribute_scala,Text,,Scala,FALSE,FALSE,,
DESCRIZIONE TECNICA,documento,ca_attribute_orientamento,List,orientamento,Orientamento,FALSE,FALSE,,orizzontale; verticale
DESCRIZIONE TECNICA,documento,ca_attribute_legatura,List,legatura,Legatura,FALSE,FALSE,,cartoncino; cartone; cuoio
DESCRIZIONE TECNICA,documento,ca_attribute_scrittura,List,scrittura,Modalità di scrittura,FALSE,TRUE,,manoscritta; dattiloscritta; dattiloscritta e manoscritta; a stampa
DESCRIZIONE TECNICA,documento,ca_attribute_scrittura_tipo,List,tipo_scrittura,Tipologia di scrittura,FALSE,TRUE,,bastarda; cancelleresca; carolingia; corsiva; gotica; inglese; miste; notarile; varie; umanistica; mercantesca
